metric,value,definition,recipe,matches_manuscript_cell
mean_fold_auroc,0.6837,Arithmetic mean of the 5 held-out fold AUROC values,"StratifiedKFold(n_splits=5,seed=42) on validation; fold-local calibration+ECDF fit (fit_fold_artifacts/apply_fold_artifacts, magd_v2.py); frozen LogisticRegression(C=1.0,class_weight=balanced,random_state=42) on the 7-feature build_logistic_features design, refit per fold on inner-train, scored on held-out",0.6837 -> EXACT MATCH
sd_fold_auroc,0.0203,Sample SD (ddof=1) across the 5 fold AUROC values,same as mean_fold_auroc,not reported in manuscript
mean_fold_pr_auc,0.1269,Arithmetic mean of the 5 held-out fold PR-AUC (average_precision_score) values,same recipe as mean_fold_auroc,0.1269 -> EXACT MATCH (this is the manuscript 0.1269 value)
sd_fold_pr_auc,0.0109,Sample SD (ddof=1) across the 5 fold PR-AUC values,same as mean_fold_auroc,not reported in manuscript
pooled_oof_auroc,0.6818,"Single AUROC computed after concatenating all 5 held-out folds y_true/score pairs (reconstructs the full validation split, each case scored exactly once out-of-fold)","same per-fold fit as above; np.concatenate the 5 held-out (y,score) arrays; one roc_auc_score call over n=119323",no manuscript AUROC cell to compare (only PR-AUC 0.1309 given)
pooled_oof_pr_auc,0.1233,Single PR-AUC (average_precision_score) computed after concatenating all 5 held-out folds,same pooling as pooled_oof_auroc,0.1309 -> DOES NOT MATCH (off by 0.0076); refutes the pooled-OOF hypothesis
in_sample_full_val_auroc,0.685,"Model refit on ALL of validation (no CV held-out), scored on that same full validation set (in-sample, optimistic upper bound)","fit_fold_artifacts/apply_fold_artifacts/build_logistic_features/fit_logistic_assurance_model on the full validation core, no fold split",no manuscript AUROC cell to compare
in_sample_full_val_pr_auc,0.1247,"Same in-sample fit/eval, PR-AUC",same as in_sample_full_val_auroc,0.1309 -> DOES NOT MATCH (off by 0.0062)
frozen_test_set_auroc,0.6912,"The ACTUAL deployed magd_assurance_risk column in data/outputs/final_reproducible_run/magd_v2_test_decisions.csv (model fit once on full validation via fit_final_v2_pipeline, applied once to test via apply_final_v2_pipeline -- the real frozen production score) vs ai_wrong on the TEST split","roc_auc_score(ai_wrong, magd_assurance_risk) read directly from the frozen test-decisions file",no manuscript AUROC cell to compare
frozen_test_set_pr_auc,0.146,"Same frozen test-set score, PR-AUC","average_precision_score(ai_wrong, magd_assurance_risk) read directly from the frozen test-decisions file",0.1309 -> DOES NOT MATCH (off by 0.0151)
